Country,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL (Jan - Dec)
Israel,"1,688","1,539",329,0,0,0,0,0,0,0,0,0,"3,556"
Italy,"4,454","3,743",406,0,0,0,0,0,0,0,0,0,"8,603"
Jamaica,7,18,0,0,0,0,0,0,0,0,0,0,25
Japan,"2,917","3,015",712,0,0,0,0,0,0,0,0,0,"6,644"
Jordan,361,206,60,0,0,0,0,0,0,0,0,0,627
Kazakhstan,"1,182",673,478,0,0,0,0,0,0,0,0,0,"2,333"
Kenya,45,50,15,0,0,0,0,0,0,0,0,0,110
Kosovar,11,5,0,0,0,0,0,0,0,0,0,0,16
Kuwait,465,326,34,0,0,0,0,0,0,0,0,0,825
Kyrgyzstan,122,75,24,0,0,0,0,0,0,0,0,0,221
Lao Peoples Dem.Rep.,8,8,3,0,0,0,0,0,0,0,0,0,19
Latvia,235,208,155,0,0,0,0,0,0,0,0,0,598
Lebanon,212,223,48,0,0,0,0,0,0,0,0,0,483
Lesotho,2,0,0,0,0,0,0,0,0,0,0,0,2
Liberia,2,0,0,0,0,0,0,0,0,0,0,0,2
Libya(Libyan Arab Jamahir,6,7,1,0,0,0,0,0,0,0,0,0,14
Liechtenstein,6,15,3,0,0,0,0,0,0,0,0,0,24
Lithuania,514,397,143,0,0,0,0,0,0,0,0,0,"1,054"
Luxembourg,55,57,26,0,0,0,0,0,0,0,0,0,138
Macedonia,23,20,10,0,0,0,0,0,0,0,0,0,53
Madagascar,3,21,3,0,0,0,0,0,0,0,0,0,27
Malawi,5,5,2,0,0,0,0,0,0,0,0,0,12
Malaysia,"1,399","1,400",695,0,0,0,0,0,0,0,0,0,"3,494"
Maldives,"4,264","2,960","2,183",0,0,0,0,0,0,0,0,0,"9,407"
Mali,0,3,0,0,0,0,0,0,0,0,0,0,3
Malta,87,40,21,0,0,0,0,0,0,0,0,0,148
Mauritania,1,0,0,0,0,0,0,0,0,0,0,0,1
Mauritius,107,44,19,0,0,0,0,0,0,0,0,0,170
Mexico,138,181,30,0,0,0,0,0,0,0,0,0,349
Moldova,120,103,23,0,0,0,0,0,0,0,0,0,246
Monaco,0,6,0,0,0,0,0,0,0,0,0,0,6
Mongolia,20,13,2,0,0,0,0,0,0,0,0,0,35
Montenegro,33,40,12,0,0,0,0,0,0,0,0,0,85
Morocco,125,136,50,0,0,0,0,0,0,0,0,0,311
Mozambique,9,3,0,0,0,0,0,0,0,0,0,0,12
Myanmar,190,214,128,0,0,0,0,0,0,0,0,0,532
Namibia,0,6,0,0,0,0,0,0,0,0,0,0,6
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,589,560,235,0,0,0,0,0,0,0,0,0,"1,384"
Netherlands,"3,538","3,763","1,355",0,0,0,0,0,0,0,0,0,"8,656"
New Zealand,"1,035",987,302,0,0,0,0,0,0,0,0,0,"2,324"
Nigeria,12,13,0,0,0,0,0,0,0,0,0,0,25
Niger,0,0,3,0,0,0,0,0,0,0,0,0,3
Norway,"1,379","1,304",336,0,0,0,0,0,0,0,0,0,"3,019"
Oman,768,229,48,0,0,0,0,0,0,0,0,0,"1,045"
Pakistan,"1,397","1,166",502,0,0,0,0,0,0,0,0,0,"3,065"
Palestinian Territories,85,33,10,0,0,0,0,0,0,0,0,0,128
Panama,6,8,1,0,0,0,0,0,0,0,0,0,15
Papua New Guinea,3,3,,0,0,0,0,0,0,0,0,0,6
Paraguay,6,5,2,0,0,0,0,0,0,0,0,0,13
Peru,30,44,21,0,0,0,0,0,0,0,0,0,95
Philippines,"1,199","1,890","1,160",0,0,0,0,0,0,0,0,0,"4,249"
Poland,"5,577","4,693","1,638",0,0,0,0,0,0,0,0,0,"11,908"
Portugal,568,850,184,0,0,0,0,0,0,0,0,0,"1,602"
Qatar,69,53,7,0,0,0,0,0,0,0,0,0,129
Republic Of Zimbabwe,7,4,1,0,0,0,0,0,0,0,0,0,12
Romania,785,693,246,0,0,0,0,0,0,0,0,0,"1,724"
Russian Federation,"19,616","20,948","8,833",0,0,0,0,0,0,0,0,0,"49,397"
Rwanda,3,6,0,0,0,0,0,0,0,0,0,0,9
Saint Kitts And Nevis,8,6,1,0,0,0,0,0,0,0,0,0,15
Saint Vincent The Grenadi,2,0,1,0,0,0,0,0,0,0,0,0,3
Saint Lucia,0,1,0,0,0,0,0,0,0,0,0,0,1
Saint Vincent The Grenadi,0,3,0,0,0,0,0,0,0,0,0,0,3
Samoa,0,1,0,0,0,0,0,0,0,0,0,0,1
San Marino,0,3,0,0,0,0,0,0,0,0,0,0,3
Saudi Arabia,"3,914",662,179,0,0,0,0,0,0,0,0,0,"4,755"
Senegal,0,3,0,0,0,0,0,0,0,0,0,0,3
Serbia,202,204,91,0,0,0,0,0,0,0,0,0,497
Seychelles,0,77,29,0,0,0,0,0,0,0,0,0,106
Sierra Leone,2,,1,0,0,0,0,0,0,0,0,0,3
Singapore,"1,214",878,453,0,0,0,0,0,0,0,0,0,"2,545"
Slovakia(Slovak Republic),539,730,244,0,0,0,0,0,0,0,0,0,"1,513"
Slovenia,261,463,76,0,0,0,0,0,0,0,0,0,800
Somalia,5,9,1,0,0,0,0,0,0,0,0,0,15
South Africa- Zuid Afrika,686,544,134,0,0,0,0,0,0,0,0,0,"1,364"
South Korea,"1,577",835,87,0,0,0,0,0,0,0,0,0,"2,499"
South Sudan,0,1,0,0,0,0,0,0,0,0,0,0,1
Spain,"1,509","1,380",496,0,0,0,0,0,0,0,0,0,"3,385"
Sudan,67,40,36,0,0,0,0,0,0,0,0,0,143
Suriname,0,3,1,0,0,0,0,0,0,0,0,0,4
Swaziland,0,1,0,0,0,0,0,0,0,0,0,0,1
Sweden,"3,099","3,239",723,0,0,0,0,0,0,0,0,0,"7,061"
Switzerland,"2,508","2,924",957,0,0,0,0,0,0,0,0,0,"6,389"
Syrian Arab Republic,37,16,4,0,0,0,0,0,0,0,0,0,57
Taiwan Province Of China,"1,296",580,109,0,0,0,0,0,0,0,0,0,"1,985"
Tajikistan,18,15,9,0,0,0,0,0,0,0,0,0,42
Tanzania,16,27,9,0,0,0,0,0,0,0,0,0,52
Thailand,736,927,217,0,0,0,0,0,0,0,0,0,"1,880"
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,0,1,0,0,0,0,0,0,0,0,0,0,1
Togo,0,2,0,0,0,0,0,0,0,0,0,0,2
Trinidad And Tobago,7,19,0,0,0,0,0,0,0,0,0,0,26
Tunisia,80,45,24,0,0,0,0,0,0,0,0,0,149
Turkey,"1,145",813,163,0,0,0,0,0,0,0,0,0,"2,121"
Turkmenistan,9,9,3,0,0,0,0,0,0,0,0,0,21
Uganda,16,15,5,0,0,0,0,0,0,0,0,0,36
Ukraine,"8,549","6,072","2,155",0,0,0,0,0,0,0,0,393,"17,169"
United Arab Emirates,199,123,30,0,0,0,0,0,0,0,0,0,352
United Kingdom,"21,138","26,348","7,969",0,0,0,0,0,0,0,0,0,"55,455"
United States,"7,494","7,803","1,545",0,0,0,0,0,0,0,0,0,"16,842"
Uruguay,21,11,4,0,0,0,0,0,0,0,0,0,36
Uzbekistan,74,108,35,0,0,0,0,0,0,0,0,0,217
Vanuatu,5,1,0,0,0,0,0,0,0,0,0,0,6
Venezuela,13,17,3,0,0,0,0,0,0,0,0,0,33
Viet Nam,287,325,97,0,0,0,0,0,0,0,0,0,709
Yemen (Yemen Arab Rep.),116,38,19,0,0,0,0,0,0,0,0,0,173
Zambia (Northernrhodesia),16,5,2,0,0,0,0,0,0,0,0,0,23
Zimbabwe,11,21,14,0,0,0,0,0,0,0,0,0,46
TOTAL,"228,434","207,507","71,370",0,0,0,0,0,0,0,0,393,"507,704"
